Country Name,Total Plants,Renewable Plants,,Proportion
Afghanistan,9,8,,0.8888888889
Albania,8,7,,0.875
Algeria,59,28,,0.4745762712
Angola,14,5,,0.3571428571
Argentina,236,69,,0.2923728814
Australia,486,232,,0.4773662551
Austria,103,100,,0.9708737864
Azerbaijan,13,5,,0.3846153846
Bahrain,8,1,,0.125
Bangladesh,57,3,,0.05263157895
Belarus,24,7,,0.2916666667
Belgium,69,28,,0.4057971014
Benin,2,0,,0
Bhutan,5,5,,1
Bolivia,26,17,,0.6538461538
Bosnia and Herzegovina,19,15,,0.7894736842
Botswana,2,0,,0
Brazil,2360,1581,,0.6699152542
Brunei Darussalam,4,0,,0
Bulgaria,43,31,,0.7209302326
Burkina Faso,7,4,,0.5714285714
Burundi,4,4,,1
Cambodia,16,9,,0.5625
Cameroon,8,3,,0.375
Canada,1159,1052,,0.9076790336
Cabo Verde,4,1,,0.25
Central African Republic,2,1,,0.5
Chile,315,216,,0.6857142857
China,4235,3102,,0.7324675325
Colombia,25,14,,0.56
"Congo, Rep.",8,4,,0.5
Costa Rica,26,23,,0.8846153846
Cote d'Ivoire,8,5,,0.625
Crotia,24,17,,0.7083333333
Cuba,14,3,,0.2142857143
Cyprus,3,0,,0
Czechia,462,435,,0.9415584416
"Congo, Dem. Rep.",14,12,,0.8571428571
Denmark,47,33,,0.7021276596
Djibouti,1,0,,0
Dominican Republic,14,7,,0.5
Ecuador,22,12,,0.5454545455
"Egypt, Arab Rep.",62,24,,0.3870967742
El Salvador,15,13,,0.8666666667
Equatorial Guinea,3,1,,0.3333333333
Eritrea,2,0,,0
Estonia,15,13,,0.8666666667
Ethiopia,13,13,,1
Fiji,12,8,,0.6666666667
Finland,185,146,,0.7891891892
France,2155,2117,,0.9823665893
French Guiana,6,3,,0.5
Gabon,6,4,,0.6666666667
"Gambia, The",2,0,,0
Georgia,19,16,,0.8421052632
Germany,1309,925,,0.7066462949
Ghana,6,4,,0.6666666667
Greece,90,68,,0.7555555556
Guatemala,76,50,,0.6578947368
Guinea,9,6,,0.6666666667
Guinea-Bissau,1,0,,0
Guyana,5,1,,0.2
Honduras,40,33,,0.825
Hungary,18,5,,0.2777777778
Iceland,20,20,,1
India,1589,1242,,0.7816236627
Indonesia,178,51,,0.2865168539
"Iran, Islamic Rep.",107,28,,0.261682243
Iraq,28,8,,0.2857142857
Ireland,59,42,,0.7118644068
Israel,59,39,,0.6610169492
Italy,396,315,,0.7954545455
Jamaica,10,5,,0.5
Japan,522,399,,0.7643678161
Jordan,33,25,,0.7575757576
Kazakhstan,33,9,,0.2727272727
Kenya,23,17,,0.7391304348
Kosovo,2,0,,0
Kuwait,9,1,,0.1111111111
Kyrgyz Republic,8,6,,0.75
Lao PDR,19,18,,0.9473684211
Latvia,5,3,,0.6
Lebanon,7,0,,0
Lesotho,1,1,,1
Liberia,2,1,,0.5
Libya,12,0,,0
Lithuania,6,2,,0.3333333333
Luxembourg,2,1,,0.5
North Macedonia,12,10,,0.8333333333
Madagascar,12,6,,0.5
Malawi,5,4,,0.8
Malaysia,55,24,,0.4363636364
Mali,4,4,,1
Mauritania,7,3,,0.4285714286
Mauritius,23,14,,0.6086956522
Mexico,277,189,,0.6823104693
Moldova,6,2,,0.3333333333
Mongolia,8,5,,0.625
Montenegro,3,2,,0.6666666667
Morocco,45,34,,0.7555555556
Mozambique,3,3,,1
Myanmar,35,21,,0.6
Namibia,13,9,,0.6923076923
Nepal,14,14,,1
Netherlands,71,53,,0.7464788732
New Zealand,43,38,,0.8837209302
Nicaragua,16,5,,0.3125
Niger,7,1,,0.1428571429
Nigeria,13,4,,0.3076923077
"Korea, Dem. People's Rep.",31,15,,0.4838709677
Norway,306,301,,0.9836601307
Oman,12,3,,0.25
Pakistan,62,26,,0.4193548387
Palestine,1,1,,1
Panama,17,11,,0.6470588235
Paua New Guinea,15,7,,0.4666666667
Paraguay,3,3,,1
Peru,32,22,,0.6875
Philippines,123,78,,0.6341463415
Poland,189,102,,0.5396825397
Portugal,469,439,,0.9360341151
Qatar,12,0,,0
Romania,68,49,,0.7205882353
Russian Federation,545,171,,0.3137614679
Rwanda,11,7,,0.6363636364
St. Lucia,1,1,,1
Saudi Arabia,90,6,,0.06666666667
Senegal,10,5,,0.5
Serbia,12,4,,0.3333333333
Sierra Leone,3,1,,0.3333333333
Singapore,14,0,,0
Slovak Republic,30,23,,0.7666666667
Slovenia,7,3,,0.4285714286
South Africa,104,76,,0.7307692308
"Korea, Rep.",132,68,,0.5151515152
Spain,829,710,,0.8564535585
Sri Lanka,48,38,,0.7916666667
Sudan,19,8,,0.4210526316
Suriname,1,1,,1
Swaziland,6,6,,1
Sweden,168,160,,0.9523809524
Switzerland,168,164,,0.9761904762
Syrian Arab Republic,18,3,,0.1666666667
Taiwan,39,19,,0.4871794872
Tajikistan,10,8,,0.8
Tanzania,11,6,,0.5454545455
Thailand,196,158,,0.806122449
Togo,3,1,,0.3333333333
Trinidad and Tobago,6,0,,0
Tunisia,27,8,,0.2962962963
Turkiye,163,115,,0.7055214724
Turkmenistan,7,0,,0
Uganda,11,10,,0.9090909091
Ukraine,64,37,,0.578125
United Arab Emirates,30,6,,0.2
United Kingdom,2751,2302,,0.836786623
United States,9833,6089,,0.6192413302
Uruguay,73,66,,0.904109589
Uzbekistan,16,7,,0.4375
"Venezuela, RB",43,9,,0.2093023256
Viet Nam,236,197,,0.8347457627
Western Sahara,1,0,,0
"Yemen, Rep.",7,0,,0
Zambia,15,7,,0.4666666667
Zimbabwe,2,1,,0.5